image,index,method,n_dets,total_ms,tp,fp,ignored,valid_gt,small_gt,small_tp,recall_small,precision
0000063_07000_d_0000008.jpg,33,SAHI640,100,168.98980000405572,36,22,0,54,38,21,0.5526315789473685,0.6206896551724138
0000063_08000_d_0000009.jpg,34,F640,94,21.248899996862747,69,24,0,119,107,58,0.5420560747663551,0.7419354838709677
0000063_08000_d_0000009.jpg,34,F1280,126,39.53560000809375,94,25,0,119,107,82,0.7663551401869159,0.7899159663865546
0000063_08000_d_0000009.jpg,34,DensK1,137,35.782799997832626,84,45,0,119,107,72,0.6728971962616822,0.6511627906976745
0000063_08000_d_0000009.jpg,34,UnifAll,138,53.98489999060985,86,44,0,119,107,74,0.6915887850467289,0.6615384615384615
0000063_08000_d_0000009.jpg,34,SAHI640,106,164.7609000065131,58,44,0,119,107,46,0.42990654205607476,0.5686274509803921
0000063_08995_d_0000010.jpg,35,F640,43,17.344699997920543,29,14,0,84,83,29,0.3493975903614458,0.6744186046511628
0000063_08995_d_0000010.jpg,35,F1280,66,37.74349999730475,46,20,0,84,83,45,0.5421686746987951,0.696969696969697
0000063_08995_d_0000010.jpg,35,DensK1,69,32.74369999417104,43,26,0,84,83,43,0.5180722891566265,0.6231884057971014
0000063_08995_d_0000010.jpg,35,UnifAll,70,48.245999991195276,44,26,0,84,83,43,0.5180722891566265,0.6285714285714286
0000063_08995_d_0000010.jpg,35,SAHI640,66,172.5296999939019,14,52,0,84,83,13,0.1566265060240964,0.21212121212121213
0000063_10000_d_0000011.jpg,36,F640,70,18.38569999381434,51,19,0,101,99,50,0.5050505050505051,0.7285714285714285
0000063_10000_d_0000011.jpg,36,F1280,108,39.448999988962896,64,32,0,101,99,64,0.6464646464646465,0.6666666666666666
0000063_10000_d_0000011.jpg,36,DensK1,116,31.469099994865246,72,39,0,101,99,71,0.7171717171717171,0.6486486486486487
0000063_10000_d_0000011.jpg,36,UnifAll,120,46.93159999442287,72,43,0,101,99,71,0.7171717171717171,0.6260869565217392
0000063_10000_d_0000011.jpg,36,SAHI640,101,189.0346000000136,51,45,0,101,99,50,0.5050505050505051,0.53125
0000063_11000_d_0000012.jpg,37,F640,83,18.34969999617897,57,25,0,188,185,57,0.3081081081081081,0.6951219512195121
0000063_11000_d_0000012.jpg,37,F1280,135,46.213999987230636,86,42,0,188,185,86,0.4648648648648649,0.671875
0000063_11000_d_0000012.jpg,37,DensK1,149,35.41320000658743,84,62,0,188,185,84,0.4540540540540541,0.5753424657534246
0000063_11000_d_0000012.jpg,37,UnifAll,152,53.083700011484325,85,64,0,188,185,85,0.4594594594594595,0.5704697986577181
0000063_11000_d_0000012.jpg,37,SAHI640,120,177.0879999967292,56,62,0,188,185,56,0.3027027027027027,0.4745762711864407
0000063_11817_d_0000013.jpg,38,F640,64,18.085599993355572,54,10,0,126,126,54,0.42857142857142855,0.84375
0000063_11817_d_0000013.jpg,38,F1280,81,44.625900001847185,66,15,0,126,126,66,0.5238095238095238,0.8148148148148148
0000063_11817_d_0000013.jpg,38,DensK1,87,43.12919999938458,67,20,0,126,126,67,0.5317460317460317,0.7701149425287356
0000063_11817_d_0000013.jpg,38,UnifAll,92,51.70999999972992,71,21,0,126,126,71,0.5634920634920635,0.7717391304347826
0000063_11817_d_0000013.jpg,38,SAHI640,79,182.91859999590088,28,51,0,126,126,28,0.2222222222222222,0.35443037974683544
0000063_12500_d_0000014.jpg,39,F640,135,20.363899995572865,85,33,0,141,137,82,0.5985401459854015,0.7203389830508474
0000063_12500_d_0000014.jpg,39,F1280,185,48.77400000987109,95,35,0,141,137,92,0.6715328467153284,0.7307692307692307
0000063_12500_d_0000014.jpg,39,DensK1,199,41.27129999687895,101,57,0,141,137,98,0.7153284671532847,0.6392405063291139
0000063_12500_d_0000014.jpg,39,UnifAll,202,54.618399997707456,101,58,0,141,137,98,0.7153284671532847,0.6352201257861635
0000063_12500_d_0000014.jpg,39,SAHI640,141,180.84680000902154,72,45,0,141,137,69,0.5036496350364964,0.6153846153846154
