image,method,tp,fp,ignored,small_gt,small_tp,precision,recall_small
0000153_01601_d_0000001.jpg,F1280,30,13,0,57,27,0.6976744186046512,0.47368421052631576
0000153_01601_d_0000001.jpg,DensK1,26,16,0,57,22,0.6190476190476191,0.38596491228070173
0000153_01601_d_0000001.jpg,UnifAll,26,19,0,57,22,0.5777777777777777,0.38596491228070173
0000153_01601_d_0000001.jpg,SAHI640,8,35,0,57,6,0.18604651162790697,0.10526315789473684
0000153_00801_d_0000001.jpg,F640,17,8,0,40,10,0.68,0.25
0000153_00801_d_0000001.jpg,F1280,20,16,0,40,12,0.5555555555555556,0.3
0000153_00801_d_0000001.jpg,DensK1,21,18,0,40,13,0.5384615384615384,0.325
0000153_00801_d_0000001.jpg,UnifAll,22,19,0,40,14,0.5365853658536586,0.35
0000153_00801_d_0000001.jpg,SAHI640,15,18,0,40,8,0.45454545454545453,0.2
0000244_04000_d_0000009.jpg,F640,23,9,0,41,15,0.71875,0.36585365853658536
0000244_04000_d_0000009.jpg,F1280,36,15,0,41,24,0.7058823529411765,0.5853658536585366
0000244_04000_d_0000009.jpg,DensK1,27,19,0,41,19,0.5869565217391305,0.4634146341463415
0000244_04000_d_0000009.jpg,UnifAll,28,23,0,41,20,0.5490196078431373,0.4878048780487805
0000244_04000_d_0000009.jpg,SAHI640,28,23,0,41,19,0.5490196078431373,0.4634146341463415
0000193_01876_d_0000113.jpg,F640,42,9,0,97,32,0.8235294117647058,0.32989690721649484
0000193_01876_d_0000113.jpg,F1280,58,23,0,97,48,0.7160493827160493,0.4948453608247423
0000193_01876_d_0000113.jpg,DensK1,51,22,0,97,41,0.6986301369863014,0.422680412371134
0000193_01876_d_0000113.jpg,UnifAll,53,32,0,97,43,0.6235294117647059,0.44329896907216493
0000193_01876_d_0000113.jpg,SAHI640,34,46,0,97,24,0.425,0.24742268041237114
0000342_00393_d_0000244.jpg,F640,48,13,0,112,36,0.7868852459016393,0.32142857142857145
0000342_00393_d_0000244.jpg,F1280,79,21,0,112,63,0.79,0.5625
0000342_00393_d_0000244.jpg,DensK1,62,28,0,112,49,0.6888888888888889,0.4375
0000342_00393_d_0000244.jpg,UnifAll,85,48,0,112,68,0.6390977443609023,0.6071428571428571
0000342_00393_d_0000244.jpg,SAHI640,50,66,0,112,38,0.43103448275862066,0.3392857142857143
