image,index,method,rep,n_dets,total_ms,n_windows,selected,consistent_with_rep0,global_ms,local_ms,merge_ms
0000244_03000_d_0000007.jpg,8,F1280,1,39,38.73730001214426,0,[],True,,,
0000244_03000_d_0000007.jpg,8,DensK1,1,45,34.05129999737255,1,[0],True,16.555499998503365,16.097400002763607,1.3983999961055815
0000244_03000_d_0000007.jpg,8,UnifAll,1,47,44.75590000220109,2,"[0, 1]",True,,,
0000244_03000_d_0000007.jpg,8,SAHI640,1,37,177.0749999996042,-1,[],True,,,
0000244_03000_d_0000007.jpg,8,F640,2,26,17.30820001102984,0,[],True,,,
0000244_03000_d_0000007.jpg,8,F1280,2,39,35.165900000720285,0,[],True,,,
0000244_03000_d_0000007.jpg,8,DensK1,2,45,34.63510000437964,1,[0],True,16.592800006037578,16.672099998686463,1.370199999655597
0000244_03000_d_0000007.jpg,8,UnifAll,2,47,52.68370000703726,2,"[0, 1]",True,,,
0000244_03000_d_0000007.jpg,8,SAHI640,2,37,191.82730000466108,-1,[],True,,,
0000026_04978_d_0000034.jpg,9,F640,0,31,23.109599991585128,0,[],,,,
0000026_04978_d_0000034.jpg,9,F1280,0,36,37.132500001462176,0,[],,,,
0000026_04978_d_0000034.jpg,9,DensK1,0,37,34.539699991000816,1,[1],,16.97270000295248,16.398299994762056,1.1686999932862818
0000026_04978_d_0000034.jpg,9,UnifAll,0,47,106.03650000120979,6,"[0, 1, 2, 3, 4, 5]",,,,
0000026_04978_d_0000034.jpg,9,SAHI640,0,43,394.6104000060586,-1,[],,,,
0000026_04978_d_0000034.jpg,9,F640,1,31,18.015099994954653,0,[],True,,,
0000026_04978_d_0000034.jpg,9,F1280,1,36,33.224800004973076,0,[],True,,,
0000026_04978_d_0000034.jpg,9,DensK1,1,37,41.11430000921246,1,[1],True,22.918200003914535,17.34020000731107,0.8558999979868531
0000026_04978_d_0000034.jpg,9,UnifAll,1,47,121.3382999994792,6,"[0, 1, 2, 3, 4, 5]",True,,,
0000026_04978_d_0000034.jpg,9,SAHI640,1,43,409.5805999968434,-1,[],True,,,
0000026_04978_d_0000034.jpg,9,F640,2,31,17.181999995955266,0,[],True,,,
0000026_04978_d_0000034.jpg,9,F1280,2,36,34.04630000295583,0,[],True,,,
0000026_04978_d_0000034.jpg,9,DensK1,2,37,43.1032999913441,1,[1],True,27.525799989234656,14.757500000996515,0.8200000011129305
0000026_04978_d_0000034.jpg,9,UnifAll,2,47,107.49969999596942,6,"[0, 1, 2, 3, 4, 5]",True,,,
0000026_04978_d_0000034.jpg,9,SAHI640,2,43,487.21010000735987,-1,[],True,,,
0000356_04117_d_0000650.jpg,10,F640,0,43,20.510800008196384,0,[],,,,
0000356_04117_d_0000650.jpg,10,F1280,0,66,32.81740000238642,0,[],,,,
0000356_04117_d_0000650.jpg,10,DensK1,0,58,36.28640000533778,1,[1],,18.259000004036352,16.185799991944805,1.8416000093566254
0000356_04117_d_0000650.jpg,10,UnifAll,0,69,123.096200011787,6,"[0, 1, 2, 3, 4, 5]",,,,
0000356_04117_d_0000650.jpg,10,SAHI640,0,65,361.2503999902401,-1,[],,,,
0000356_04117_d_0000650.jpg,10,F640,1,43,18.229100009193644,0,[],True,,,
0000356_04117_d_0000650.jpg,10,F1280,1,66,30.14469999470748,0,[],True,,,
0000356_04117_d_0000650.jpg,10,DensK1,1,58,35.78140000172425,1,[1],True,20.621700008632615,13.887199995224364,1.2724999978672713
0000356_04117_d_0000650.jpg,10,UnifAll,1,69,118.30660000850912,6,"[0, 1, 2, 3, 4, 5]",True,,,
0000356_04117_d_0000650.jpg,10,SAHI640,1,65,327.12349999928847,-1,[],True,,,
0000356_04117_d_0000650.jpg,10,F640,2,43,17.829600008553825,0,[],True,,,
0000356_04117_d_0000650.jpg,10,F1280,2,66,32.11200000077952,0,[],True,,,
0000356_04117_d_0000650.jpg,10,DensK1,2,58,32.443500007502735,1,[1],True,16.659200002322905,14.505900006042793,1.2783999991370365
0000356_04117_d_0000650.jpg,10,UnifAll,2,69,129.61270000960212,6,"[0, 1, 2, 3, 4, 5]",True,,,
0000356_04117_d_0000650.jpg,10,SAHI640,2,65,330.0662000110606,-1,[],True,,,
0000280_02201_d_0000623.jpg,11,F640,0,46,20.6218999956036,0,[],,,,
0000280_02201_d_0000623.jpg,11,F1280,0,66,35.03660000569653,0,[],,,,
0000280_02201_d_0000623.jpg,11,DensK1,0,59,38.48889999790117,1,[3],,17.094499999075197,19.773000007262453,1.6213999915635213
0000280_02201_d_0000623.jpg,11,UnifAll,0,95,105.3336000040872,6,"[0, 1, 2, 3, 4, 5]",,,,
0000280_02201_d_0000623.jpg,11,SAHI640,0,85,388.9391000120668,-1,[],,,,
0000280_02201_d_0000623.jpg,11,F640,1,46,14.957699997466989,0,[],True,,,
0000280_02201_d_0000623.jpg,11,F1280,1,66,32.40090000326745,0,[],True,,,
0000280_02201_d_0000623.jpg,11,DensK1,1,59,31.488799999351613,1,[3],True,16.35330000135582,13.815799989970401,1.319700008025393
0000280_02201_d_0000623.jpg,11,UnifAll,1,95,104.69589999411255,6,"[0, 1, 2, 3, 4, 5]",True,,,
